key,value
20 to 29,248813
30 to 39,218823
10 to 19,159269
40 to 49,137865
50 to 59,89636
60 to 69,46431
0 to 9,39532
70 to 79,13863
Unknown,11075
80 to 89,3431
90 to Older,766
